BSP 100:	6563000
BSP 384:	5949708
BSP 500:	6251292
Int4 100:	85910292 ns
Int4 384:	318337875 ns
Int4 500:	412056500 ns
Int4 768:	629979125 ns
Int8 100:	71251209 ns
Int8 384:	274136000 ns
Int8 500:	363700084 ns
Int8 768:	560948584 ns
Int16 100:	71168125 ns
Int16 384:	281474708 ns
Int16 500:	357668500 ns
Int16 768:	552215916 ns
F32 100:	72661417 ns
F32 384:	298635708 ns
F32 500:	396356500 ns
F32 768:	605396500 ns
Hamming 100:	801875 ns
Hamming 384:	2690334 ns
Hamming 500:	2906875 ns
Hamming 768:	5401834 ns
