BSP 100:	6109208
BSP 384:	6488000
BSP 500:	6708708
Int4 100:	85969583 ns
Int4 384:	317002083 ns
Int4 500:	411782458 ns
Int4 768:	632259792 ns
Int8 100:	70925208 ns
Int8 384:	273323792 ns
Int8 500:	362749875 ns
Int8 768:	559356708 ns
Int16 100:	70607958 ns
Int16 384:	282545667 ns
Int16 500:	357221084 ns
Int16 768:	550283417 ns
F32 100:	72066458 ns
F32 384:	298780750 ns
F32 500:	401004458 ns
F32 768:	604762792 ns
Hamming 100:	972083 ns
Hamming 384:	2948208 ns
Hamming 500:	2729250 ns
Hamming 768:	5120959 ns
