BSP 100:	6058625
BSP 384:	6469667
BSP 500:	6773875
Int4 100:	86233542 ns
Int4 384:	317571209 ns
Int4 500:	412900209 ns
Int4 768:	630513875 ns
Int8 100:	71511958 ns
Int8 384:	275104125 ns
Int8 500:	363769333 ns
Int8 768:	562618584 ns
Int16 100:	71288667 ns
Int16 384:	280539291 ns
Int16 500:	357674125 ns
Int16 768:	551315500 ns
F32 100:	72402375 ns
F32 384:	292970792 ns
F32 500:	400334500 ns
F32 768:	606379292 ns
Hamming 100:	810416 ns
Hamming 384:	2762083 ns
Hamming 500:	2515209 ns
Hamming 768:	4713916 ns
