BSP 100:	6846375
BSP 384:	7616042
BSP 500:	8148875
Int4 100:	86404709 ns
Int4 384:	317447708 ns
Int4 500:	416171666 ns
Int4 768:	633089667 ns
Int8 100:	71638875 ns
Int8 384:	274210583 ns
Int8 500:	364386083 ns
Int8 768:	559125459 ns
Int16 100:	71415833 ns
Int16 384:	283703500 ns
Int16 500:	357390291 ns
Int16 768:	551321125 ns
F32 100:	72337167 ns
F32 384:	309921375 ns
F32 500:	397495292 ns
F32 768:	608945583 ns
Hamming 100:	838333 ns
Hamming 384:	3539417 ns
Hamming 500:	3000083 ns
Hamming 768:	4921125 ns
