BSP 100:	6813917
BSP 384:	6239833
BSP 500:	6616834
Int4 100:	86211208 ns
Int4 384:	318101041 ns
Int4 500:	416393000 ns
Int4 768:	635719500 ns
Int8 100:	74973208 ns
Int8 384:	280731333 ns
Int8 500:	367611375 ns
Int8 768:	563987334 ns
Int16 100:	71037708 ns
Int16 384:	282727875 ns
Int16 500:	360970375 ns
Int16 768:	550155708 ns
F32 100:	72224959 ns
F32 384:	297607959 ns
F32 500:	400491708 ns
F32 768:	610253958 ns
Hamming 100:	843417 ns
Hamming 384:	2424000 ns
Hamming 500:	2372375 ns
Hamming 768:	4763666 ns
