BSP 100:	5707250
BSP 384:	6754083
BSP 500:	6965125
Int4 100:	86221750 ns
Int4 384:	318091500 ns
Int4 500:	413264333 ns
Int4 768:	630765083 ns
Int8 100:	71897542 ns
Int8 384:	274845667 ns
Int8 500:	363023833 ns
Int8 768:	561274542 ns
Int16 100:	72222750 ns
Int16 384:	283878625 ns
Int16 500:	359583000 ns
Int16 768:	553700666 ns
F32 100:	72793833 ns
F32 384:	301445041 ns
F32 500:	399796791 ns
F32 768:	606782958 ns
Hamming 100:	892459 ns
Hamming 384:	2555791 ns
Hamming 500:	2572792 ns
Hamming 768:	4837083 ns
