BSP 100:	5950334
BSP 384:	6285792
BSP 500:	6402708
Int4 100:	86179416 ns
Int4 384:	317296625 ns
Int4 500:	415326750 ns
Int4 768:	630187334 ns
Int8 100:	71236417 ns
Int8 384:	279542875 ns
Int8 500:	362101708 ns
Int8 768:	558928750 ns
Int16 100:	70940375 ns
Int16 384:	282285041 ns
Int16 500:	356995041 ns
Int16 768:	551000166 ns
F32 100:	72763041 ns
F32 384:	308702750 ns
F32 500:	395969167 ns
F32 768:	603968125 ns
Hamming 100:	783000 ns
Hamming 384:	2700333 ns
Hamming 500:	2759208 ns
Hamming 768:	5026041 ns
