BSP 100:	6065375
BSP 384:	6328875
BSP 500:	7401791
Int4 100:	86246542 ns
Int4 384:	317873333 ns
Int4 500:	419605250 ns
Int4 768:	633314583 ns
Int8 100:	71797333 ns
Int8 384:	275829917 ns
Int8 500:	369460583 ns
Int8 768:	564811042 ns
Int16 100:	71117583 ns
Int16 384:	294406833 ns
Int16 500:	359852708 ns
Int16 768:	552995416 ns
F32 100:	72312666 ns
F32 384:	317086458 ns
F32 500:	400116958 ns
F32 768:	609960042 ns
Hamming 100:	817583 ns
Hamming 384:	2453500 ns
Hamming 500:	2755334 ns
Hamming 768:	4755875 ns
