BSP 100:	30339715
BSP 384:	30390556
BSP 500:	32072710
Int4 100:	177299134 ns
Int4 384:	663686721 ns
Int4 500:	864345990 ns
Int4 768:	1325981862 ns
Int8 100:	118394428 ns
Int8 384:	421317413 ns
Int8 500:	544199067 ns
Int8 768:	826425365 ns
Int16 100:	132811875 ns
Int16 384:	469711458 ns
Int16 500:	599925146 ns
Int16 768:	897986622 ns
F32 100:	130622164 ns
F32 384:	476967602 ns
F32 500:	613452801 ns
F32 768:	918811490 ns
Hamming 100:	4718028 ns
Hamming 384:	12898145 ns
Hamming 500:	12601690 ns
Hamming 768:	25126850 ns
