BSP 100:	29953592
BSP 384:	32753682
BSP 500:	33254049
Int4 100:	176624687 ns
Int4 384:	660872920 ns
Int4 500:	859222191 ns
Int4 768:	1322917507 ns
Int8 100:	117353723 ns
Int8 384:	419851654 ns
Int8 500:	546638373 ns
Int8 768:	823606847 ns
Int16 100:	131251062 ns
Int16 384:	466768181 ns
Int16 500:	598083035 ns
Int16 768:	894359138 ns
F32 100:	134571240 ns
F32 384:	477540606 ns
F32 500:	610400363 ns
F32 768:	928417448 ns
Hamming 100:	5240365 ns
Hamming 384:	12872346 ns
Hamming 500:	13535905 ns
Hamming 768:	25950494 ns
