BSP 100:	28476791
BSP 384:	30749034
BSP 500:	32506159
Int4 100:	175632382 ns
Int4 384:	660365753 ns
Int4 500:	858402659 ns
Int4 768:	1319640260 ns
Int8 100:	118539809 ns
Int8 384:	420391462 ns
Int8 500:	542350121 ns
Int8 768:	824101874 ns
Int16 100:	133212131 ns
Int16 384:	468376484 ns
Int16 500:	597822531 ns
Int16 768:	893788129 ns
F32 100:	130203397 ns
F32 384:	483775897 ns
F32 500:	618055812 ns
F32 768:	934833901 ns
Hamming 100:	4830870 ns
Hamming 384:	14492529 ns
Hamming 500:	12848475 ns
Hamming 768:	26417141 ns
