BSP 100:	30879326
BSP 384:	32711551
BSP 500:	32363306
Int4 100:	176640218 ns
Int4 384:	663201804 ns
Int4 500:	861009486 ns
Int4 768:	1320614804 ns
Int8 100:	118542199 ns
Int8 384:	420379393 ns
Int8 500:	544007985 ns
Int8 768:	826397197 ns
Int16 100:	135385032 ns
Int16 384:	469788894 ns
Int16 500:	600866645 ns
Int16 768:	899232027 ns
F32 100:	135556485 ns
F32 384:	488022058 ns
F32 500:	621572334 ns
F32 768:	919954916 ns
Hamming 100:	5222805 ns
Hamming 384:	13835820 ns
Hamming 500:	14290537 ns
Hamming 768:	26102117 ns
