BSP 100:	30467679
BSP 384:	31409863
BSP 500:	31617026
Int4 100:	177822482 ns
Int4 384:	661093586 ns
Int4 500:	854923279 ns
Int4 768:	1315365314 ns
Int8 100:	118371746 ns
Int8 384:	419407174 ns
Int8 500:	540607780 ns
Int8 768:	824770575 ns
Int16 100:	134642780 ns
Int16 384:	465101632 ns
Int16 500:	596061759 ns
Int16 768:	892728684 ns
F32 100:	128735445 ns
F32 384:	478688798 ns
F32 500:	614336603 ns
F32 768:	917204427 ns
Hamming 100:	4987482 ns
Hamming 384:	12798235 ns
Hamming 500:	12899976 ns
Hamming 768:	23679522 ns
