BSP 100:	27626838
BSP 384:	30169044
BSP 500:	31138289
Int4 100:	175877914 ns
Int4 384:	661646035 ns
Int4 500:	860161435 ns
Int4 768:	1319985921 ns
Int8 100:	120505677 ns
Int8 384:	419894040 ns
Int8 500:	541561014 ns
Int8 768:	823392055 ns
Int16 100:	132383967 ns
Int16 384:	469764030 ns
Int16 500:	597914516 ns
Int16 768:	897668055 ns
F32 100:	131262922 ns
F32 384:	475508482 ns
F32 500:	615655461 ns
F32 768:	920129979 ns
Hamming 100:	5190685 ns
Hamming 384:	13652687 ns
Hamming 500:	13870310 ns
Hamming 768:	25371376 ns
