BSP 100:	31314102
BSP 384:	32435227
BSP 500:	32715181
Int4 100:	175844916 ns
Int4 384:	657887297 ns
Int4 500:	856940287 ns
Int4 768:	1315001544 ns
Int8 100:	118386407 ns
Int8 384:	419261456 ns
Int8 500:	540351952 ns
Int8 768:	820531513 ns
Int16 100:	130059016 ns
Int16 384:	465877888 ns
Int16 500:	597294414 ns
Int16 768:	894818644 ns
F32 100:	135309651 ns
F32 384:	478969677 ns
F32 500:	624825861 ns
F32 768:	932938123 ns
Hamming 100:	4506955 ns
Hamming 384:	12475479 ns
Hamming 500:	12847115 ns
Hamming 768:	23194875 ns
