BSP 100:	29858641
BSP 384:	30848885
BSP 500:	31904880
Int4 100:	176317741 ns
Int4 384:	661022005 ns
Int4 500:	861384723 ns
Int4 768:	1321651085 ns
Int8 100:	117695186 ns
Int8 384:	421427482 ns
Int8 500:	543118516 ns
Int8 768:	826285786 ns
Int16 100:	131094989 ns
Int16 384:	469384604 ns
Int16 500:	600705065 ns
Int16 768:	898393755 ns
F32 100:	133789600 ns
F32 384:	479304556 ns
F32 500:	616641196 ns
F32 768:	929903340 ns
Hamming 100:	5319536 ns
Hamming 384:	13007427 ns
Hamming 500:	13084888 ns
Hamming 768:	26396059 ns
