BSP 100:	29838710
BSP 384:	31379892
BSP 500:	31273631
Int4 100:	175717232 ns
Int4 384:	656685563 ns
Int4 500:	856124327 ns
Int4 768:	1314199098 ns
Int8 100:	117039317 ns
Int8 384:	418967357 ns
Int8 500:	540770733 ns
Int8 768:	822371700 ns
Int16 100:	130851146 ns
Int16 384:	465419467 ns
Int16 500:	596541616 ns
Int16 768:	895152620 ns
F32 100:	128060685 ns
F32 384:	477880486 ns
F32 500:	618469542 ns
F32 768:	920078039 ns
Hamming 100:	5316317 ns
Hamming 384:	14037732 ns
Hamming 500:	15184489 ns
Hamming 768:	27604808 ns
