BSP 100:	25225759
BSP 384:	25339028
BSP 500:	25244639
Int4 100:	164174453 ns
Int4 384:	607916724 ns
Int4 500:	788928232 ns
Int4 768:	1212222676 ns
Int8 100:	95763371 ns
Int8 384:	337134378 ns
Int8 500:	429405567 ns
Int8 768:	656772950 ns
Int16 100:	117907258 ns
Int16 384:	415288222 ns
Int16 500:	538022762 ns
Int16 768:	822282092 ns
F32 100:	120333458 ns
F32 384:	431207707 ns
F32 500:	553965526 ns
F32 768:	830684804 ns
Hamming 100:	4345101 ns
Hamming 384:	12092414 ns
Hamming 500:	12006414 ns
Hamming 768:	21926347 ns
