BSP 100:	25251488
BSP 384:	25162269
BSP 500:	25244858
Int4 100:	164374025 ns
Int4 384:	607740081 ns
Int4 500:	788546310 ns
Int4 768:	1212190750 ns
Int8 100:	96497102 ns
Int8 384:	339803922 ns
Int8 500:	435198543 ns
Int8 768:	661589797 ns
Int16 100:	119377550 ns
Int16 384:	415697376 ns
Int16 500:	539842148 ns
Int16 768:	827423232 ns
F32 100:	118528088 ns
F32 384:	426355650 ns
F32 500:	536797587 ns
F32 768:	813508379 ns
Hamming 100:	4479462 ns
Hamming 384:	11973674 ns
Hamming 500:	11983824 ns
Hamming 768:	21802668 ns
