BSP 100:	25102139
BSP 384:	25380647
BSP 500:	25244188
Int4 100:	164626274 ns
Int4 384:	607844707 ns
Int4 500:	788888225 ns
Int4 768:	1211871712 ns
Int8 100:	95768591 ns
Int8 384:	337068389 ns
Int8 500:	429621528 ns
Int8 768:	655807532 ns
Int16 100:	118589749 ns
Int16 384:	416552364 ns
Int16 500:	539097764 ns
Int16 768:	828131917 ns
F32 100:	118242218 ns
F32 384:	424539117 ns
F32 500:	541269474 ns
F32 768:	811257281 ns
Hamming 100:	4429991 ns
Hamming 384:	12180294 ns
Hamming 500:	11856444 ns
Hamming 768:	21793337 ns
