BSP 100:	25281270
BSP 384:	25101479
BSP 500:	24963149
Int4 100:	163185700 ns
Int4 384:	610044872 ns
Int4 500:	790694388 ns
Int4 768:	1212378709 ns
Int8 100:	95754535 ns
Int8 384:	337286942 ns
Int8 500:	430153305 ns
Int8 768:	654215586 ns
Int16 100:	117884592 ns
Int16 384:	415633280 ns
Int16 500:	539444724 ns
Int16 768:	828283287 ns
F32 100:	119230083 ns
F32 384:	423231533 ns
F32 500:	545678577 ns
F32 768:	809187665 ns
Hamming 100:	4401652 ns
Hamming 384:	11948264 ns
Hamming 500:	11952154 ns
Hamming 768:	21705298 ns
