BSP 100:	25293229
BSP 384:	25405999
BSP 500:	25672600
Int4 100:	166071359 ns
Int4 384:	614631134 ns
Int4 500:	797841878 ns
Int4 768:	1225613787 ns
Int8 100:	96093244 ns
Int8 384:	338606467 ns
Int8 500:	432504641 ns
Int8 768:	660998140 ns
Int16 100:	119319652 ns
Int16 384:	415658044 ns
Int16 500:	541050507 ns
Int16 768:	830535077 ns
F32 100:	118833321 ns
F32 384:	424012355 ns
F32 500:	542258987 ns
F32 768:	815610495 ns
Hamming 100:	4472871 ns
Hamming 384:	12200124 ns
Hamming 500:	11930194 ns
Hamming 768:	21846647 ns
