BSP 100:	25017049
BSP 384:	25173178
BSP 500:	25640438
Int4 100:	165989856 ns
Int4 384:	616387249 ns
Int4 500:	797937490 ns
Int4 768:	1225812714 ns
Int8 100:	95835653 ns
Int8 384:	335920674 ns
Int8 500:	431020456 ns
Int8 768:	659162822 ns
Int16 100:	118320330 ns
Int16 384:	416034350 ns
Int16 500:	537515610 ns
Int16 768:	829135198 ns
F32 100:	119538550 ns
F32 384:	429228194 ns
F32 500:	541092790 ns
F32 768:	822604305 ns
Hamming 100:	4364091 ns
Hamming 384:	12026924 ns
Hamming 500:	11787393 ns
Hamming 768:	21926897 ns
