BSP 100:	25361428
BSP 384:	25294048
BSP 500:	25064739
Int4 100:	166721453 ns
Int4 384:	614707194 ns
Int4 500:	798019872 ns
Int4 768:	1225549466 ns
Int8 100:	96621321 ns
Int8 384:	340037867 ns
Int8 500:	433454647 ns
Int8 768:	664123089 ns
Int16 100:	118442857 ns
Int16 384:	414509480 ns
Int16 500:	540714370 ns
Int16 768:	828619260 ns
F32 100:	119757947 ns
F32 384:	428316854 ns
F32 500:	550938793 ns
F32 768:	820328697 ns
Hamming 100:	4477762 ns
Hamming 384:	12170755 ns
Hamming 500:	11988644 ns
Hamming 768:	21795927 ns
