BSP 100:	25452287
BSP 384:	25236355
BSP 500:	25269894
Int4 100:	165990845 ns
Int4 384:	614687802 ns
Int4 500:	797558067 ns
Int4 768:	1225544276 ns
Int8 100:	97613115 ns
Int8 384:	342034724 ns
Int8 500:	438953172 ns
Int8 768:	666939715 ns
Int16 100:	118248026 ns
Int16 384:	415610584 ns
Int16 500:	534086915 ns
Int16 768:	823979250 ns
F32 100:	120338116 ns
F32 384:	432818311 ns
F32 500:	549194466 ns
F32 768:	822941662 ns
Hamming 100:	4433257 ns
Hamming 384:	12066340 ns
Hamming 500:	12137430 ns
Hamming 768:	21838945 ns
