BSP 100:	25537336
BSP 384:	25498563
BSP 500:	25126631
Int4 100:	164199854 ns
Int4 384:	607905615 ns
Int4 500:	788844081 ns
Int4 768:	1212121286 ns
Int8 100:	97460193 ns
Int8 384:	342256546 ns
Int8 500:	439752833 ns
Int8 768:	668242062 ns
Int16 100:	117974399 ns
Int16 384:	415567084 ns
Int16 500:	536362273 ns
Int16 768:	827452090 ns
F32 100:	120829210 ns
F32 384:	433065624 ns
F32 500:	553998880 ns
F32 768:	830798405 ns
Hamming 100:	4422687 ns
Hamming 384:	12040263 ns
Hamming 500:	11973362 ns
Hamming 768:	21790980 ns
